"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 31","56,762,000","57,195,000","58,812,000","56,236,000","4.96K","-0.82%"
"2021- 12- 30","57,233,000","57,088,000","58,233,000","56,400,000","5.51K","0.25%"
"2021- 12- 29","57,088,000","58,266,000","58,700,000","56,654,000","8.04K","-2.00%"
"2021- 12- 28","58,254,000","61,463,000","61,506,000","57,920,000","7.30K","-5.22%"
"2021- 12- 27","61,464,000","61,474,000","62,500,000","60,945,000","5.29K","0.00%"
"2021- 12- 26","61,466,000","61,177,000","61,939,000","60,288,000","4.35K","0.47%"
"2021- 12- 25","61,176,000","61,939,000","62,495,000","61,118,000","3.73K","-1.23%"
"2021- 12- 24","61,939,000","61,501,000","62,850,000","61,250,000","5.24K","0.74%"
"2021- 12- 23","61,482,000","59,756,000","61,925,000","59,124,000","6.47K","2.88%"
"2021- 12- 22","59,759,000","60,047,000","60,769,000","59,605,000","5.77K","-0.47%"
"2021- 12- 21","60,042,000","58,011,000","60,644,000","57,501,000","6.64K","3.56%"
"2021- 12- 20","57,979,000","58,313,000","58,613,000","56,923,000","6.68K","-0.64%"
"2021- 12- 19","58,355,000","58,438,000","59,850,000","58,071,000","5.95K","-0.10%"
"2021- 12- 18","58,412,000","58,086,000","58,866,000","57,217,000","5.48K","0.50%"
"2021- 12- 17","58,122,000","59,820,000","60,183,000","57,401,000","8.99K","-2.83%"
"2021- 12- 16","59,816,000","61,196,000","61,659,000","59,500,000","7.81K","-2.26%"
"2021- 12- 15","61,196,000","59,910,000","62,150,000","58,070,000","10.23K","2.11%"
"2021- 12- 14","59,930,000","58,626,000","60,150,000","57,349,000","7.20K","2.22%"
"2021- 12- 13","58,630,000","61,995,000","62,188,000","58,160,000","7.45K","-5.43%"
"2021- 12- 12","61,995,000","61,389,000","62,887,000","60,909,000","3.66K","0.92%"
"2021- 12- 11","61,427,000","59,660,000","61,534,000","59,500,000","3.63K","2.81%"
"2021- 12- 10","59,750,000","59,426,000","61,995,000","59,106,000","7.75K","0.55%"
"2021- 12- 09","59,425,000","62,217,000","62,481,000","59,200,000","6.98K","-4.50%"
"2021- 12- 08","62,222,000","63,183,000","63,435,000","60,525,000","7.42K","-1.54%"
"2021- 12- 07","63,196,000","62,640,000","64,119,000","62,316,000","8.05K","0.91%"
"2021- 12- 06","62,626,000","61,889,000","63,101,000","59,080,000","11.59K","1.22%"
"2021- 12- 05","61,874,000","62,103,000","63,273,000","59,690,000","12.12K","-0.43%"
"2021- 12- 04","62,139,000","68,053,000","68,170,000","56,058,000","28.35K","-8.68%"
"2021- 12- 03","68,045,000","70,563,000","71,186,000","67,038,000","15.06K","-3.61%"
"2021- 12- 02","70,594,000","70,936,000","71,462,000","69,962,000","10.21K","-0.48%"
"2021- 12- 01","70,936,000","70,702,000","72,850,000","70,500,000","7.44K","0.33%"
"2021- 11- 30","70,700,000","72,240,000","73,299,000","70,001,000","8.72K","-2.14%"
"2021- 11- 29","72,246,000","72,256,000","73,166,000","71,312,000","5.96K","-0.09%"
"2021- 11- 28","72,310,000","70,044,000","72,680,000","68,630,000","5.44K","3.24%"
"2021- 11- 27","70,040,000","68,550,000","70,275,000","68,150,000","4.87K","2.18%"
"2021- 11- 26","68,549,000","73,179,000","73,542,000","68,090,000","12.47K","-6.30%"
"2021- 11- 25","73,161,000","71,638,000","74,133,000","71,226,000","9.05K","2.13%"
"2021- 11- 24","71,638,000","71,802,000","72,299,000","70,267,000","6.61K","-0.23%"
"2021- 11- 23","71,800,000","70,589,000","72,200,000","69,559,000","8.49K","1.72%"
"2021- 11- 22","70,586,000","73,099,000","73,427,000","70,285,000","7.71K","-3.31%"
"2021- 11- 21","73,001,000","73,669,000","74,200,000","72,695,000","4.79K","-0.94%"
"2021- 11- 20","73,691,000","71,813,000","74,073,000","71,500,000","5.65K","2.61%"
"2021- 11- 19","71,815,000","70,602,000","72,370,000","69,151,000","9.10K","1.79%"
"2021- 11- 18","70,555,000","73,935,000","74,489,000","70,000,000","15.30K","-4.57%"
"2021- 11- 17","73,935,000","73,880,000","74,710,000","72,000,000","9.92K","0.05%"
"2021- 11- 16","73,897,000","77,600,000","77,601,000","73,352,000","12.98K","-4.77%"
"2021- 11- 15","77,601,000","79,329,000","80,250,000","77,341,000","6.97K","-2.14%"
"2021- 11- 14","79,300,000","77,867,000","79,340,000","77,580,000","3.83K","1.84%"
"2021- 11- 13","77,867,000","78,190,000","78,758,000","77,124,000","4.35K","-0.38%"
"2021- 11- 12","78,165,000","78,934,000","79,100,000","76,726,000","7.12K","-0.98%"
"2021- 11- 11","78,939,000","79,645,000","79,730,000","78,559,000","7.17K","-0.91%"
"2021- 11- 10","79,663,000","80,807,000","82,513,000","78,525,000","13.17K","-1.42%"
"2021- 11- 09","80,814,000","81,402,000","82,699,000","79,989,000","9.22K","-0.72%"
"2021- 11- 08","81,403,000","76,539,000","81,586,000","76,539,000","9.13K","6.36%"
"2021- 11- 07","76,536,000","74,576,000","76,700,000","74,481,000","4.45K","2.63%"
"2021- 11- 06","74,575,000","74,016,000","74,649,000","73,808,000","3.74K","0.61%"
"2021- 11- 05","74,122,000","73,806,000","75,000,000","73,491,000","5.52K","0.43%"
"2021- 11- 04","73,807,000","74,600,000","74,871,000","73,481,000","5.76K","-1.06%"
"2021- 11- 03","74,600,000","74,151,000","75,141,000","72,500,000","7.93K","0.61%"
"2021- 11- 02","74,150,000","72,400,000","75,555,000","72,039,000","7.68K","2.42%"
"2021- 11- 01","72,400,000","72,288,000","73,905,000","71,011,000","6.32K","0.10%"
"2021- 10- 31","72,325,000","73,428,000","74,497,000","71,551,000","7.52K","-1.48%"
"2021- 10- 30","73,414,000","74,568,000","74,737,000","72,926,000","6.02K","-1.50%"
"2021- 10- 29","74,530,000","73,122,000","75,404,000","72,700,000","7.16K","2.06%"
"2021- 10- 28","73,028,000","71,859,000","74,668,000","71,049,000","8.65K","1.64%"
"2021- 10- 27","71,850,000","73,293,000","74,199,000","70,220,000","14.50K","-1.98%"
"2021- 10- 26","73,299,000","76,189,000","76,459,000","73,002,000","8.26K","-3.86%"
"2021- 10- 25","76,239,000","74,501,000","77,020,000","74,267,000","6.86K","2.28%"
"2021- 10- 24","74,536,000","74,848,000","75,529,000","73,640,000","6.11K","-0.39%"
"2021- 10- 23","74,830,000","74,356,000","75,578,000","73,251,000","7.08K","0.64%"
"2021- 10- 22","74,355,000","76,396,000","77,626,000","74,123,000","11.86K","-2.67%"
"2021- 10- 21","76,398,000","79,910,000","80,810,000","76,330,000","15.55K","-4.40%"
"2021- 10- 20","79,912,000","78,739,000","81,739,000","78,001,000","14.47K","1.40%"
"2021- 10- 19","78,810,000","76,585,000","79,266,000","75,929,000","9.02K","2.91%"
"2021- 10- 18","76,585,000","75,938,000","77,267,000","74,194,000","8.31K","0.94%"
"2021- 10- 17","75,874,000","74,875,000","76,200,000","74,010,000","5.40K","1.43%"
"2021- 10- 16","74,806,000","75,640,000","76,367,000","73,977,000","7.82K","-1.17%"
"2021- 10- 15","75,693,000","69,784,000","76,721,000","69,420,000","15.66K","8.46%"
"2021- 10- 14","69,790,000","69,947,000","71,470,000","69,400,000","6.36K","-0.13%"
"2021- 10- 13","69,884,000","69,188,000","70,700,000","66,872,000","8.57K","1.02%"
"2021- 10- 12","69,175,000","70,954,000","71,363,000","67,564,000","8.98K","-2.46%"
"2021- 10- 11","70,920,000","67,800,000","71,600,000","67,555,000","9.40K","4.60%"
"2021- 10- 10","67,800,000","67,057,000","69,012,000","66,370,000","5.56K","1.19%"
"2021- 10- 09","67,002,000","65,951,000","67,728,000","65,671,000","5.04K","1.55%"
"2021- 10- 08","65,981,000","65,511,000","68,155,000","65,158,000","8.40K","0.72%"
"2021- 10- 07","65,511,000","66,999,000","67,269,000","65,275,000","8.83K","-2.22%"
"2021- 10- 06","66,998,000","61,666,000","67,629,000","61,113,000","13.46K","8.59%"
"2021- 10- 05","61,700,000","60,001,000","62,500,000","59,547,000","9.85K","2.68%"
"2021- 10- 04","60,088,000","58,448,000","60,330,000","57,350,000","6.70K","2.60%"
"2021- 10- 03","58,567,000","58,235,000","59,390,000","57,278,000","4.49K","0.56%"
"2021- 10- 02","58,238,000","58,348,000","58,996,000","57,670,000","4.85K","-0.19%"
"2021- 10- 01","58,347,000","53,523,000","58,581,000","53,071,000","9.34K","9.01%"
"2021- 09- 30","53,523,000","50,800,000","53,673,000","50,731,000","6.72K","5.36%"
"2021- 09- 29","50,800,000","50,309,000","51,799,000","49,928,000","5.20K","0.98%"
"2021- 09- 28","50,305,000","51,831,000","52,099,000","50,222,000","6.22K","-2.91%"
"2021- 09- 27","51,811,000","52,798,000","53,794,000","51,747,000","4.96K","-1.88%"
"2021- 09- 26","52,805,000","52,326,000","53,590,000","50,804,000","5.94K","0.91%"
"2021- 09- 25","52,327,000","52,176,000","52,450,000","51,057,000","4.37K","0.29%"
"2021- 09- 24","52,176,000","54,410,000","54,531,000","50,900,000","11.47K","-4.08%"
"2021- 09- 23","54,395,000","53,853,000","54,651,000","52,580,000","7.74K","1.00%"
"2021- 09- 22","53,858,000","50,703,000","54,147,000","50,070,000","8.92K","6.24%"
"2021- 09- 21","50,695,000","53,782,000","54,395,000","50,219,000","11.49K","-5.77%"
"2021- 09- 20","53,801,000","57,969,000","58,129,000","53,497,000","10.95K","-7.20%"
"2021- 09- 19","57,976,000","58,597,000","58,802,000","57,468,000","4.82K","-1.16%"
"2021- 09- 18","58,658,000","57,678,000","58,980,000","57,584,000","4.94K","1.85%"
"2021- 09- 17","57,593,000","57,275,000","57,835,000","56,942,000","6.91K","0.56%"
"2021- 09- 16","57,270,000","57,178,000","57,500,000","56,446,000","5.36K","0.11%"
"2021- 09- 15","57,207,000","56,564,000","57,600,000","56,011,000","5.20K","1.24%"
"2021- 09- 14","56,504,000","54,254,000","56,850,000","54,130,000","5.99K","4.11%"
"2021- 09- 13","54,274,000","55,052,000","56,654,000","53,625,000","7.68K","-1.44%"
"2021- 09- 12","55,069,000","54,769,000","55,580,000","54,330,000","4.46K","0.55%"
"2021- 09- 11","54,769,000","55,031,000","55,400,000","54,352,000","4.25K","-0.46%"
"2021- 09- 10","55,022,000","55,918,000","56,850,000","54,714,000","10.52K","-1.51%"
"2021- 09- 09","55,867,000","55,580,000","56,567,000","54,707,000","7.54K","0.52%"
"2021- 09- 08","55,580,000","56,690,000","57,250,000","53,163,000","12.68K","-1.92%"
"2021- 09- 07","56,666,000","60,839,000","61,112,000","55,600,000","19.86K","-6.86%"
"2021- 09- 06","60,841,000","59,212,000","61,056,000","58,825,000","7.15K","2.75%"
"2021- 09- 05","59,211,000","57,835,000","59,650,000","57,217,000","7.57K","2.39%"
"2021- 09- 04","57,827,000","57,717,000","58,480,000","57,189,000","7.24K","0.08%"
"2021- 09- 03","57,781,000","57,155,000","59,107,000","56,500,000","11.53K","0.93%"
"2021- 09- 02","57,250,000","56,430,000","58,365,000","56,242,000","8.96K","1.43%"
"2021- 09- 01","56,445,000","55,241,000","56,893,000","54,538,000","9.10K","2.20%"
"2021- 08- 31","55,230,000","55,806,000","56,333,000","55,024,000","11.08K","-1.02%"
"2021- 08- 30","55,800,000","57,316,000","57,449,000","55,555,000","14.61K","-2.60%"
"2021- 08- 29","57,288,000","57,444,000","57,999,000","56,507,000","11.59K","-0.24%"
"2021- 08- 28","57,428,000","57,400,000","57,883,000","56,717,000","5.55K","0.05%"
"2021- 08- 27","57,400,000","55,225,000","57,591,000","54,625,000","8.32K","3.96%"
"2021- 08- 26","55,215,000","57,100,000","57,496,000","54,527,000","9.48K","-3.29%"
"2021- 08- 25","57,096,000","56,134,000","57,323,000","55,100,000","11.19K","1.65%"
"2021- 08- 24","56,168,000","57,620,000","57,869,000","55,800,000","16.81K","-2.52%"
"2021- 08- 23","57,622,000","57,622,000","58,726,000","57,393,000","10.94K","-0.10%"
"2021- 08- 22","57,681,000","57,552,000","58,000,000","56,651,000","7.33K","0.22%"
"2021- 08- 21","57,553,000","57,682,000","58,278,000","56,600,000","9.18K","-0.23%"
"2021- 08- 20","57,683,000","55,048,000","57,908,000","54,847,000","12.56K","4.85%"
"2021- 08- 19","55,017,000","52,854,000","55,043,000","52,002,000","13.99K","4.17%"
"2021- 08- 18","52,816,000","52,653,000","53,869,000","51,974,000","14.26K","0.31%"
"2021- 08- 17","52,653,000","53,846,000","54,645,000","52,500,000","9.40K","-2.27%"
"2021- 08- 16","53,874,000","54,640,000","55,701,000","53,701,000","8.60K","-1.39%"
"2021- 08- 15","54,636,000","54,816,000","55,166,000","53,351,000","8.69K","-0.33%"
"2021- 08- 14","54,817,000","55,148,000","55,736,000","53,581,000","10.41K","-0.61%"
"2021- 08- 13","55,156,000","52,090,000","55,309,000","51,771,000","11.54K","5.91%"
