"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 31","56,641,000","57,155,000","58,865,000","56,001,000","0.59K","-0.90%"
"2021- 12- 30","57,155,000","56,989,000","58,198,000","56,258,000","2.86K","0.29%"
"2021- 12- 29","56,989,000","58,277,000","58,659,000","56,590,000","1.30K","-2.21%"
"2021- 12- 28","58,278,000","61,400,000","61,412,000","57,900,000","0.60K","-5.08%"
"2021- 12- 27","61,400,000","61,415,000","62,495,000","60,865,000","0.49K","-0.03%"
"2021- 12- 26","61,418,000","61,117,000","61,940,000","60,354,000","0.59K","0.45%"
"2021- 12- 25","61,141,000","61,935,000","62,432,000","61,080,000","0.43K","-1.28%"
"2021- 12- 24","61,935,000","61,480,000","62,829,000","61,224,000","0.54K","0.74%"
"2021- 12- 23","61,480,000","59,600,000","61,860,000","58,991,000","0.79K","3.13%"
"2021- 12- 22","59,614,000","59,951,000","60,584,000","59,513,000","0.54K","-0.51%"
"2021- 12- 21","59,920,000","57,779,000","60,465,000","57,330,000","0.53K","3.66%"
"2021- 12- 20","57,803,000","58,284,000","58,499,000","56,837,000","0.56K","-0.83%"
"2021- 12- 19","58,284,000","58,310,000","59,661,000","57,997,000","0.47K","-0.04%"
"2021- 12- 18","58,310,000","57,914,000","58,799,000","57,102,000","0.39K","0.68%"
"2021- 12- 17","57,914,000","59,547,000","59,948,000","57,243,000","0.73K","-2.74%"
"2021- 12- 16","59,547,000","61,046,000","61,502,000","59,323,000","0.68K","-2.46%"
"2021- 12- 15","61,046,000","59,765,000","61,936,000","58,508,000","0.87K","2.25%"
"2021- 12- 14","59,705,000","58,417,000","60,000,000","57,201,000","0.63K","2.20%"
"2021- 12- 13","58,417,000","61,984,000","62,079,000","58,000,000","0.75K","-5.66%"
"2021- 12- 12","61,924,000","61,412,000","62,841,000","60,864,000","0.48K","0.84%"
"2021- 12- 11","61,410,000","59,663,000","61,490,000","59,500,000","0.49K","2.86%"
"2021- 12- 10","59,705,000","59,191,000","61,901,000","58,990,000","0.73K","0.67%"
"2021- 12- 09","59,307,000","62,073,000","62,350,000","59,050,000","0.80K","-4.44%"
"2021- 12- 08","62,063,000","63,063,000","63,299,000","60,500,000","0.42K","-1.59%"
"2021- 12- 07","63,063,000","62,586,000","63,999,000","62,246,000","0.55K","0.74%"
"2021- 12- 06","62,600,000","61,741,000","62,981,000","58,955,000","0.73K","1.39%"
"2021- 12- 05","61,741,000","62,012,000","63,250,000","59,639,000","0.68K","-0.57%"
"2021- 12- 04","62,092,000","67,962,000","68,060,000","57,000,000","0.80K","-8.64%"
"2021- 12- 03","67,962,000","70,204,000","70,904,000","66,890,000","0.90K","-3.19%"
"2021- 12- 02","70,204,000","70,915,000","71,350,000","69,550,000","0.41K","-1.00%"
"2021- 12- 01","70,915,000","70,600,000","72,007,000","70,250,000","0.12K","0.49%"
"2021- 11- 30","70,566,000","72,203,000","73,040,000","70,000,000","1.20K","-2.26%"
"2021- 11- 29","72,200,000","72,299,000","73,148,000","71,349,000","0.90K","-0.08%"
"2021- 11- 28","72,260,000","70,140,000","72,656,000","68,531,000","0.79K","3.02%"
"2021- 11- 27","70,141,000","68,329,000","70,295,000","68,059,000","0.70K","2.65%"
"2021- 11- 26","68,329,000","73,128,000","73,499,000","67,986,000","1.34K","-6.58%"
"2021- 11- 25","73,138,000","71,670,000","73,950,000","71,066,000","1.14K","2.05%"
"2021- 11- 24","71,670,000","71,617,000","72,340,000","70,050,000","1.19K","0.07%"
"2021- 11- 23","71,618,000","70,421,000","71,995,000","69,400,000","1.14K","1.71%"
"2021- 11- 22","70,416,000","72,963,000","73,429,000","70,051,000","1.39K","-3.49%"
"2021- 11- 21","72,963,000","73,781,000","74,176,000","72,599,000","0.80K","-1.09%"
"2021- 11- 20","73,764,000","71,786,000","74,000,000","71,374,000","1.07K","2.76%"
"2021- 11- 19","71,782,000","70,388,000","72,218,000","69,032,000","0.84K","1.98%"
"2021- 11- 18","70,388,000","73,952,000","74,396,000","69,846,000","1.78K","-4.83%"
"2021- 11- 17","73,962,000","73,882,000","74,581,000","71,822,000","1.10K","0.11%"
"2021- 11- 16","73,884,000","77,530,000","77,558,000","73,126,000","1.10K","-4.74%"
"2021- 11- 15","77,559,000","79,352,000","80,111,000","77,240,000","1.09K","-2.28%"
"2021- 11- 14","79,372,000","77,860,000","79,372,000","77,448,000","0.95K","1.94%"
"2021- 11- 13","77,860,000","78,169,000","78,820,000","77,120,000","0.56K","-0.41%"
"2021- 11- 12","78,179,000","78,860,000","79,133,000","76,601,000","1.00K","-0.84%"
"2021- 11- 11","78,842,000","79,520,000","79,670,000","78,400,000","1.10K","-0.85%"
"2021- 11- 10","79,520,000","80,730,000","82,425,000","77,983,000","2.18K","-1.50%"
"2021- 11- 09","80,729,000","81,504,000","82,475,000","79,815,000","1.34K","-0.95%"
"2021- 11- 08","81,504,000","76,666,000","81,650,000","76,650,000","1.29K","6.28%"
"2021- 11- 07","76,685,000","74,559,000","76,700,000","74,473,000","0.91K","2.84%"
"2021- 11- 06","74,569,000","74,100,000","74,600,000","73,698,000","0.79K","0.62%"
"2021- 11- 05","74,108,000","73,757,000","74,945,000","73,207,000","1.06K","0.48%"
"2021- 11- 04","73,757,000","74,656,000","74,846,000","73,322,000","1.25K","-1.23%"
"2021- 11- 03","74,674,000","74,162,000","74,994,000","72,132,000","1.43K","0.69%"
"2021- 11- 02","74,162,000","72,385,000","75,500,000","72,007,000","1.19K","2.40%"
"2021- 11- 01","72,422,000","72,574,000","73,900,000","71,030,000","0.94K","-0.21%"
"2021- 10- 31","72,574,000","73,681,000","74,500,000","71,824,000","0.81K","-1.49%"
"2021- 10- 30","73,668,000","74,654,000","74,728,000","72,931,000","1.24K","-1.30%"
"2021- 10- 29","74,641,000","73,029,000","75,452,000","72,530,000","1.72K","2.32%"
"2021- 10- 28","72,947,000","71,612,000","74,630,000","70,727,000","1.77K","1.82%"
"2021- 10- 27","71,646,000","73,004,000","73,866,000","70,420,000","1.32K","-1.87%"
"2021- 10- 26","73,012,000","76,280,000","76,442,000","72,796,000","1.61K","-4.28%"
"2021- 10- 25","76,280,000","74,471,000","76,964,000","74,265,000","1.03K","2.44%"
"2021- 10- 24","74,465,000","74,874,000","75,393,000","73,480,000","1.18K","-0.55%"
"2021- 10- 23","74,875,000","74,283,000","75,418,000","73,200,000","0.90K","0.80%"
"2021- 10- 22","74,283,000","76,193,000","77,355,000","73,750,000","1.55K","-2.51%"
"2021- 10- 21","76,196,000","79,644,000","80,460,000","76,146,000","1.62K","-4.31%"
"2021- 10- 20","79,630,000","78,715,000","81,200,000","77,777,000","1.48K","1.16%"
"2021- 10- 19","78,715,000","76,469,000","78,959,000","75,656,000","1.57K","2.90%"
"2021- 10- 18","76,494,000","75,952,000","77,000,000","74,000,000","0.92K","0.71%"
"2021- 10- 17","75,952,000","74,805,000","76,176,000","73,734,000","1.39K","1.53%"
"2021- 10- 16","74,805,000","75,707,000","76,144,000","73,926,000","0.99K","-1.19%"
"2021- 10- 15","75,707,000","69,753,000","76,605,000","69,352,000","1.76K","8.54%"
"2021- 10- 14","69,753,000","69,925,000","71,300,000","69,101,000","1.20K","-0.25%"
"2021- 10- 13","69,925,000","69,239,000","70,637,000","66,800,000","0.51K","1.03%"
"2021- 10- 12","69,211,000","70,954,000","71,136,000","67,162,000","0.72K","-2.46%"
"2021- 10- 11","70,954,000","67,698,000","71,475,000","67,282,000","0.62K","4.81%"
