"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 12- 31","56,667,000","57,174,000","58,793,000","56,001,000","0.71K","-0.89%"
"2021- 12- 30","57,174,000","56,995,000","58,140,000","56,373,000","0.57K","0.31%"
"2021- 12- 29","56,995,000","58,315,000","58,626,000","56,586,000","0.95K","-2.27%"
"2021- 12- 28","58,318,000","61,388,000","61,397,000","57,881,000","0.78K","-5.00%"
"2021- 12- 27","61,388,000","61,416,000","62,477,000","60,909,000","0.53K","-0.05%"
"2021- 12- 26","61,416,000","61,059,000","61,892,000","60,300,000","0.47K","0.58%"
"2021- 12- 25","61,062,000","61,916,000","62,413,000","61,000,000","0.35K","-1.38%"
"2021- 12- 24","61,916,000","61,443,000","62,781,000","61,224,000","0.67K","0.79%"
"2021- 12- 23","61,433,000","59,653,000","61,856,000","59,005,000","0.72K","2.98%"
"2021- 12- 22","59,653,000","59,902,000","60,599,000","59,502,000","0.57K","-0.42%"
"2021- 12- 21","59,902,000","57,809,000","60,451,000","57,380,000","0.62K","3.62%"
"2021- 12- 20","57,809,000","58,192,000","58,502,000","56,855,000","0.72K","-0.66%"
"2021- 12- 19","58,192,000","58,251,000","59,771,000","57,932,000","0.54K","-0.10%"
"2021- 12- 18","58,251,000","57,907,000","58,740,000","57,143,000","0.52K","0.61%"
"2021- 12- 17","57,898,000","59,597,000","59,974,000","57,247,000","0.96K","-2.87%"
"2021- 12- 16","59,610,000","61,026,000","61,489,000","59,371,000","0.79K","-2.32%"
"2021- 12- 15","61,026,000","59,735,000","61,943,000","58,000,000","1.12K","2.14%"
"2021- 12- 14","59,748,000","58,536,000","59,961,000","57,242,000","0.93K","2.07%"
"2021- 12- 13","58,536,000","62,008,000","62,122,000","58,004,000","0.92K","-5.60%"
"2021- 12- 12","62,008,000","61,372,000","62,800,000","60,889,000","0.49K","1.05%"
"2021- 12- 11","61,362,000","59,734,000","61,500,000","59,458,000","0.62K","2.73%"
"2021- 12- 10","59,734,000","59,289,000","61,909,000","59,024,000","0.95K","0.75%"
"2021- 12- 09","59,289,000","62,113,000","62,305,000","59,123,000","0.83K","-4.55%"
"2021- 12- 08","62,113,000","63,043,000","63,297,000","60,389,000","0.97K","-1.48%"
"2021- 12- 07","63,045,000","62,506,000","63,980,000","62,234,000","1.00K","0.86%"
"2021- 12- 06","62,510,000","61,839,000","62,990,000","59,013,000","1.94K","1.09%"
"2021- 12- 05","61,839,000","62,047,000","63,251,000","59,725,000","1.67K","-0.39%"
