"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2020-01-01","일반상환학자금_등록금","0","0"
"2020-01-01","일반상환학자금_생활비","0","0"
"2020-01-01","취업후상환학자금_등록금","0","0"
"2020-01-01","취업후상환학자금_생활비","0","0"
"2020-01-09","일반상환학자금_등록금","1131","60"
"2020-01-09","일반상환학자금_생활비","421","6"
"2020-01-09","취업후상환학자금_등록금","3","0"
"2020-01-09","취업후상환학자금_생활비","48","0"
"2020-01-10","일반상환학자금_등록금","804","43"
"2020-01-10","일반상환학자금_생활비","300","4"
"2020-01-10","취업후상환학자금_등록금","2","0"
"2020-01-10","취업후상환학자금_생활비","72","0"
"2020-01-11","일반상환학자금_등록금","537","30"
"2020-01-11","일반상환학자금_생활비","205","3"
"2020-01-11","취업후상환학자금_등록금","5","0"
"2020-01-11","취업후상환학자금_생활비","85","0"
"2020-01-12","일반상환학자금_등록금","0","0"
"2020-01-12","일반상환학자금_생활비","0","0"
"2020-01-12","취업후상환학자금_등록금","0","0"
"2020-01-12","취업후상환학자금_생활비","0","0"
"2020-01-13","일반상환학자금_등록금","0","0"
"2020-01-13","일반상환학자금_생활비","0","0"
"2020-01-13","취업후상환학자금_등록금","0","0"
"2020-01-13","취업후상환학자금_생활비","0","0"
"2020-01-14","일반상환학자금_등록금","695","35"
"2020-01-14","일반상환학자금_생활비","318","4"
"2020-01-14","취업후상환학자금_등록금","7","0"
"2020-01-14","취업후상환학자금_생활비","73","0"
"2020-01-15","일반상환학자금_등록금","499","25"
"2020-01-15","일반상환학자금_생활비","250","3"
"2020-01-15","취업후상환학자금_등록금","6","0"
"2020-01-15","취업후상환학자금_생활비","168","1"
"2020-01-16","일반상환학자금_등록금","551","26"
"2020-01-16","일반상환학자금_생활비","281","3"
"2020-01-16","취업후상환학자금_등록금","7","0"
"2020-01-16","취업후상환학자금_생활비","169","1"
"2020-01-17","일반상환학자금_등록금","406","20"
"2020-01-17","일반상환학자금_생활비","279","3"
"2020-01-17","취업후상환학자금_등록금","11","0"
"2020-01-17","취업후상환학자금_생활비","161","1"
"2020-01-18","일반상환학자금_등록금","287","11"
"2020-01-18","일반상환학자금_생활비","232","2"
"2020-01-18","취업후상환학자금_등록금","25","1"
"2020-01-18","취업후상환학자금_생활비","178","1"
"2020-01-19","일반상환학자금_등록금","0","0"
"2020-01-19","일반상환학자금_생활비","0","0"
"2020-01-19","취업후상환학자금_등록금","0","0"
"2020-01-19","취업후상환학자금_생활비","0","0"
"2020-01-20","일반상환학자금_등록금","0","0"
"2020-01-20","일반상환학자금_생활비","0","0"
"2020-01-20","취업후상환학자금_등록금","0","0"
"2020-01-20","취업후상환학자금_생활비","0","0"
"2020-01-21","일반상환학자금_등록금","426","12"
"2020-01-21","일반상환학자금_생활비","309","3"
"2020-01-21","취업후상환학자금_등록금","80","2"
"2020-01-21","취업후상환학자금_생활비","307","2"
"2020-01-22","일반상환학자금_등록금","613","26"
"2020-01-22","일반상환학자금_생활비","555","5"
"2020-01-22","취업후상환학자금_등록금","104","3"
"2020-01-22","취업후상환학자금_생활비","2800","14"
"2020-01-23","일반상환학자금_등록금","406","17"
"2020-01-23","일반상환학자금_생활비","406","3"
"2020-01-23","취업후상환학자금_등록금","63","2"
"2020-01-23","취업후상환학자금_생활비","1977","10"
"2020-01-24","일반상환학자금_등록금","275","11"
"2020-01-24","일반상환학자금_생활비","365","3"
"2020-01-24","취업후상환학자금_등록금","34","1"
"2020-01-24","취업후상환학자금_생활비","1840","9"
"2020-01-25","일반상환학자금_등록금","0","0"
"2020-01-25","일반상환학자금_생활비","0","0"
"2020-01-25","취업후상환학자금_등록금","0","0"
"2020-01-25","취업후상환학자금_생활비","0","0"
"2020-01-26","일반상환학자금_등록금","0","0"
"2020-01-26","일반상환학자금_생활비","0","0"
"2020-01-26","취업후상환학자금_등록금","0","0"
"2020-01-26","취업후상환학자금_생활비","0","0"
"2020-01-27","일반상환학자금_등록금","0","0"
"2020-01-27","일반상환학자금_생활비","0","0"
"2020-01-27","취업후상환학자금_등록금","0","0"
"2020-01-27","취업후상환학자금_생활비","0","0"
"2020-01-28","일반상환학자금_등록금","0","0"
"2020-01-28","일반상환학자금_생활비","0","0"
"2020-01-28","취업후상환학자금_등록금","0","0"
"2020-01-28","취업후상환학자금_생활비","0","0"
"2020-01-29","일반상환학자금_등록금","643","28"
"2020-01-29","일반상환학자금_생활비","544","5"
"2020-01-29","취업후상환학자금_등록금","69","2"
"2020-01-29","취업후상환학자금_생활비","1975","10"
"2020-01-30","일반상환학자금_등록금","1180","49"
"2020-01-30","일반상환학자금_생활비","629","7"
"2020-01-30","취업후상환학자금_등록금","174","6"
"2020-01-30","취업후상환학자금_생활비","1623","9"
"2020-01-31","일반상환학자금_등록금","929","35"
"2020-01-31","일반상환학자금_생활비","872","8"
"2020-01-31","취업후상환학자금_등록금","217","5"
"2020-01-31","취업후상환학자금_생활비","4348","22"
"2020-02-01","일반상환학자금_등록금","696","27"
"2020-02-01","일반상환학자금_생활비","710","6"
"2020-02-01","취업후상환학자금_등록금","179","4"
"2020-02-01","취업후상환학자금_생활비","3026","15"
"2020-02-02","일반상환학자금_등록금","0","0"
"2020-02-02","일반상환학자금_생활비","0","0"
"2020-02-02","취업후상환학자금_등록금","0","0"
"2020-02-02","취업후상환학자금_생활비","0","0"
"2020-02-03","일반상환학자금_등록금","0","0"
"2020-02-03","일반상환학자금_생활비","0","0"
"2020-02-03","취업후상환학자금_등록금","0","0"
"2020-02-03","취업후상환학자금_생활비","0","0"
"2020-02-04","일반상환학자금_등록금","1300","53"
"2020-02-04","일반상환학자금_생활비","1041","10"
"2020-02-04","취업후상환학자금_등록금","412","9"
