"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2021-01-01","일반상환학자금_등록금","0","0"
"2021-01-01","일반상환학자금_생활비","0","0"
"2021-01-01","취업후상환학자금_등록금","0","0"
"2021-01-01","취업후상환학자금_생활비","0","0"
"2021-01-07","일반상환학자금_등록금","1091","61"
"2021-01-07","일반상환학자금_생활비","351","5"
"2021-01-07","취업후상환학자금_등록금","6","0"
"2021-01-07","취업후상환학자금_생활비","30","0"
"2021-01-08","일반상환학자금_등록금","778","46"
"2021-01-08","일반상환학자금_생활비","267","4"
"2021-01-08","취업후상환학자금_등록금","1","0"
"2021-01-08","취업후상환학자금_생활비","39","0"
"2021-01-09","일반상환학자금_등록금","347","22"
"2021-01-09","일반상환학자금_생활비","143","2"
"2021-01-09","취업후상환학자금_등록금","0","0"
"2021-01-09","취업후상환학자금_생활비","72","0"
"2021-01-10","일반상환학자금_등록금","0","0"
"2021-01-10","일반상환학자금_생활비","0","0"
"2021-01-10","취업후상환학자금_등록금","0","0"
"2021-01-10","취업후상환학자금_생활비","0","0"
"2021-01-11","일반상환학자금_등록금","0","0"
"2021-01-11","일반상환학자금_생활비","0","0"
"2021-01-11","취업후상환학자금_등록금","0","0"
"2021-01-11","취업후상환학자금_생활비","0","0"
"2021-01-12","일반상환학자금_등록금","458","22"
"2021-01-12","일반상환학자금_생활비","201","3"
"2021-01-12","취업후상환학자금_등록금","9","0"
"2021-01-12","취업후상환학자금_생활비","98","1"
"2021-01-13","일반상환학자금_등록금","412","20"
"2021-01-13","일반상환학자금_생활비","196","2"
"2021-01-13","취업후상환학자금_등록금","6","0"
"2021-01-13","취업후상환학자금_생활비","97","1"
"2021-01-14","일반상환학자금_등록금","443","22"
"2021-01-14","일반상환학자금_생활비","176","2"
"2021-01-14","취업후상환학자금_등록금","5","0"
"2021-01-14","취업후상환학자금_생활비","108","1"
"2021-01-15","일반상환학자금_등록금","424","21"
"2021-01-15","일반상환학자금_생활비","212","3"
"2021-01-15","취업후상환학자금_등록금","7","0"
"2021-01-15","취업후상환학자금_생활비","114","1"
"2021-01-16","일반상환학자금_등록금","262","13"
"2021-01-16","일반상환학자금_생활비","127","1"
"2021-01-16","취업후상환학자금_등록금","9","0"
"2021-01-16","취업후상환학자금_생활비","92","1"
"2021-01-17","일반상환학자금_등록금","0","0"
"2021-01-17","일반상환학자금_생활비","0","0"
"2021-01-17","취업후상환학자금_등록금","0","0"
"2021-01-17","취업후상환학자금_생활비","0","0"
"2021-01-18","일반상환학자금_등록금","0","0"
"2021-01-18","일반상환학자금_생활비","0","0"
"2021-01-18","취업후상환학자금_등록금","0","0"
"2021-01-18","취업후상환학자금_생활비","0","0"
"2021-01-19","일반상환학자금_등록금","538","22"
"2021-01-19","일반상환학자금_생활비","260","3"
"2021-01-19","취업후상환학자금_등록금","12","0"
"2021-01-19","취업후상환학자금_생활비","161","1"
"2021-01-20","일반상환학자금_등록금","390","15"
"2021-01-20","일반상환학자금_생활비","200","3"
"2021-01-20","취업후상환학자금_등록금","18","0"
"2021-01-20","취업후상환학자금_생활비","185","1"
"2021-01-21","일반상환학자금_등록금","749","36"
"2021-01-21","일반상환학자금_생활비","362","4"
"2021-01-21","취업후상환학자금_등록금","27","1"
"2021-01-21","취업후상환학자금_생활비","211","1"
"2021-01-22","일반상환학자금_등록금","553","29"
"2021-01-22","일반상환학자금_생활비","480","4"
"2021-01-22","취업후상환학자금_등록금","31","1"
"2021-01-22","취업후상환학자금_생활비","2124","10"
"2021-01-23","일반상환학자금_등록금","350","17"
"2021-01-23","일반상환학자금_생활비","321","3"
"2021-01-23","취업후상환학자금_등록금","34","1"
"2021-01-23","취업후상환학자금_생활비","1247","6"
"2021-01-24","일반상환학자금_등록금","0","0"
"2021-01-24","일반상환학자금_생활비","0","0"
"2021-01-24","취업후상환학자금_등록금","0","0"
"2021-01-24","취업후상환학자금_생활비","0","0"
"2021-01-25","일반상환학자금_등록금","0","0"
"2021-01-25","일반상환학자금_생활비","0","0"
"2021-01-25","취업후상환학자금_등록금","0","0"
"2021-01-25","취업후상환학자금_생활비","0","0"
"2021-01-26","일반상환학자금_등록금","455","20"
"2021-01-26","일반상환학자금_생활비","455","4"
"2021-01-26","취업후상환학자금_등록금","61","2"
"2021-01-26","취업후상환학자금_생활비","1764","9"
"2021-01-27","일반상환학자금_등록금","675","26"
"2021-01-27","일반상환학자금_생활비","463","5"
"2021-01-27","취업후상환학자금_등록금","45","1"
"2021-01-27","취업후상환학자금_생활비","1355","7"
"2021-01-28","일반상환학자금_등록금","831","35"
"2021-01-28","일반상환학자금_생활비","473","5"
"2021-01-28","취업후상환학자금_등록금","64","2"
"2021-01-28","취업후상환학자금_생활비","1133","6"
"2021-01-29","일반상환학자금_등록금","669","23"
"2021-01-29","일반상환학자금_생활비","495","5"
"2021-01-29","취업후상환학자금_등록금","89","1"
"2021-01-29","취업후상환학자금_생활비","1262","7"
"2021-01-30","일반상환학자금_등록금","526","17"
"2021-01-30","일반상환학자금_생활비","409","4"
"2021-01-30","취업후상환학자금_등록금","71","2"
"2021-01-30","취업후상환학자금_생활비","1304","6"
"2021-01-31","일반상환학자금_등록금","0","0"
"2021-01-31","일반상환학자금_생활비","0","0"
"2021-01-31","취업후상환학자금_등록금","0","0"
"2021-01-31","취업후상환학자금_생활비","0","0"
"2021-02-01","일반상환학자금_등록금","0","0"
"2021-02-01","일반상환학자금_생활비","0","0"
"2021-02-01","취업후상환학자금_등록금","0","0"
"2021-02-01","취업후상환학자금_생활비","0","0"
"2021-02-02","일반상환학자금_등록금","1013","33"
"2021-02-02","일반상환학자금_생활비","795","9"
"2021-02-02","취업후상환학자금_등록금","215","3"
"2021-02-02","취업후상환학자금_생활비","1921","10"
"2021-02-03","일반상환학자금_등록금","750","26"
"2021-02-03","일반상환학자금_생활비","518","6"
"2021-02-03","취업후상환학자금_등록금","127","3"
"2021-02-03","취업후상환학자금_생활비","1411","7"
"2021-02-04","일반상환학자금_등록금","1143","53"
"2021-02-04","일반상환학자금_생활비","709","8"
"2021-02-04","취업후상환학자금_등록금","101","2"
"2021-02-04","취업후상환학자금_생활비","1157","6"
"2021-02-05","일반상환학자금_등록금","737","28"
"2021-02-05","일반상환학자금_생활비","838","7"
"2021-02-05","취업후상환학자금_등록금","171","3"
"2021-02-05","취업후상환학자금_생활비","3677","19"
"2021-02-06","일반상환학자금_등록금","591","23"
"2021-02-06","일반상환학자금_생활비","599","6"
"2021-02-06","취업후상환학자금_등록금","155","3"
"2021-02-06","취업후상환학자금_생활비","2363","12"
"2021-02-07","일반상환학자금_등록금","0","0"
"2021-02-07","일반상환학자금_생활비","0","0"
"2021-02-07","취업후상환학자금_등록금","0","0"
"2021-02-07","취업후상환학자금_생활비","0","0"
"2021-02-08","일반상환학자금_등록금","0","0"
"2021-02-08","일반상환학자금_생활비","0","0"
"2021-02-08","취업후상환학자금_등록금","0","0"
"2021-02-08","취업후상환학자금_생활비","0","0"
"2021-02-09","일반상환학자금_등록금","10666","370"
"2021-02-09","일반상환학자금_생활비","4083","55"
"2021-02-09","취업후상환학자금_등록금","6819","188"
"2021-02-09","취업후상환학자금_생활비","5015","50"
"2021-02-10","일반상환학자금_등록금","7069","240"
"2021-02-10","일반상환학자금_생활비","2515","32"
"2021-02-10","취업후상환학자금_등록금","3104","88"
"2021-02-10","취업후상환학자금_생활비","3029","28"
"2021-02-11","일반상환학자금_등록금","3531","116"
"2021-02-11","일반상환학자금_생활비","1785","20"
"2021-02-11","취업후상환학자금_등록금","1362","39"
"2021-02-11","취업후상환학자금_생활비","2364","18"
"2021-02-12","일반상환학자금_등록금","0","0"
"2021-02-12","일반상환학자금_생활비","0","0"
"2021-02-12","취업후상환학자금_등록금","0","0"
"2021-02-12","취업후상환학자금_생활비","0","0"
"2021-02-13","일반상환학자금_등록금","0","0"
"2021-02-13","일반상환학자금_생활비","0","0"
"2021-02-13","취업후상환학자금_등록금","0","0"
"2021-02-13","취업후상환학자금_생활비","0","0"
"2021-02-14","일반상환학자금_등록금","0","0"
"2021-02-14","일반상환학자금_생활비","0","0"
"2021-02-14","취업후상환학자금_등록금","0","0"
"2021-02-14","취업후상환학자금_생활비","0","0"
"2021-02-15","일반상환학자금_등록금","0","0"
"2021-02-15","일반상환학자금_생활비","0","0"
"2021-02-15","취업후상환학자금_등록금","0","0"
"2021-02-15","취업후상환학자금_생활비","0","0"
"2021-02-16","일반상환학자금_등록금","3305","120"
"2021-02-16","일반상환학자금_생활비","3302","33"
"2021-02-16","취업후상환학자금_등록금","2297","50"
"2021-02-16","취업후상환학자금_생활비","3933","34"
"2021-02-17","일반상환학자금_등록금","2747","94"
"2021-02-17","일반상환학자금_생활비","2400","25"
"2021-02-17","취업후상환학자금_등록금","1610","37"
"2021-02-17","취업후상환학자금_생활비","2729","24"
"2021-02-18","일반상환학자금_등록금","2530","90"
